"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SMALLCAP 100","16,765.40","16,770.85","16,326.35","16,677.25","16,352.75","-","-324.50","-1.95","39,21,98,662","11,452.04","19,224.95","14,084.30","-7.40","-4.77"
"BANDHANBNK","150.20","152.15","145.10","142.46","148.60","-","6.14","4.31","6,60,66,666","985.52","192.48","128.16","-0.01","-1.44"
"LAURUSLABS","1,017.90","1,044.80","1,000.00","1,005.80","1,030.00","-","24.20","2.41","42,00,801","429.63","1,141.00","501.15","-4.87","78.05"
"CHAMBLFERT","428.95","441.05","425.05","426.65","436.50","-","9.85","2.31","22,29,996","96.80","742.20","410.20","-7.11","-12.46"
"GODIGIT","330.00","338.85","322.90","324.30","330.50","-","6.20","1.91","11,97,293","39.63","381.40","264.60","-3.53","15.80"
"ATUL","5,781.50","5,948.00","5,735.00","5,772.50","5,860.00","-","87.50","1.52","32,441","18.95","7,788.00","4,752.00","-4.33","-14.06"
"SWANCORP","404.95","433.90","403.65","401.00","406.30","-","5.30","1.32","67,61,819","285.48","630.40","362.20","-11.49","-"
"HINDCOPPER","544.00","555.95","532.50","532.05","539.00","-","6.95","1.31","2,91,67,207","1,593.52","576.00","183.82","31.41","121.39"
"AARTIIND","347.80","357.75","345.30","346.45","351.00","-","4.55","1.31","9,26,961","32.83","495.00","338.05","-7.98","-19.97"
"FSL","315.65","315.65","308.50","312.90","315.50","-","2.60","0.83","4,77,777","14.97","403.80","270.00","-11.74","-10.62"
"WHIRLPOOL","790.00","804.10","785.55","789.95","796.15","-","6.20","0.78","3,23,756","25.77","1,648.70","771.00","-15.45","-49.37"
"MRPL","155.00","158.75","152.60","154.29","155.46","-","1.17","0.76","69,52,785","108.05","185.00","98.92","5.96","12.86"
"KPIL","1,104.80","1,112.80","1,087.80","1,104.80","1,112.80","-","8.00","0.72","1,03,491","11.38","1,335.60","786.30","-5.55","-0.31"
"KARURVYSYA","264.00","275.75","258.50","263.65","264.15","-","0.50","0.19","85,56,664","228.98","280.45","154.63","5.84","18.62"
"FIRSTCRY","273.90","275.00","268.60","273.90","274.05","-","0.15","0.05","8,00,566","21.70","512.30","257.40","-9.27","-39.58"
"DEEPAKFERT","1,170.00","1,196.10","1,170.00","1,182.20","1,179.90","-","-2.30","-0.19","1,17,370","13.90","1,778.60","888.90","-5.80","1.95"
"NATCOPHARM","835.00","846.20","825.00","834.75","831.85","-","-2.90","-0.35","3,18,161","26.57","1,341.00","726.80","-10.25","-34.12"
"FIVESTAR","516.85","520.60","507.65","514.20","511.95","-","-2.25","-0.44","3,68,658","18.84","850.00","498.95","-9.07","-23.85"
"NAVINFLUOR","5,910.50","6,010.00","5,846.50","5,917.50","5,890.50","-","-27.00","-0.46","1,12,538","66.95","6,273.50","3,502.00","-2.38","60.52"
"DELHIVERY","391.95","403.40","384.75","389.85","388.00","-","-1.85","-0.47","22,22,806","87.29","490.00","236.53","-6.07","20.11"
"AADHARHFC","472.00","472.00","466.10","470.05","467.75","-","-2.30","-0.49","2,61,668","12.26","547.80","346.05","-2.59","17.33"
"GESHIP","1,115.00","1,120.50","1,105.10","1,114.40","1,107.60","-","-6.80","-0.61","1,73,473","19.27","1,179.00","797.50","-0.03","17.03"
"MCX","2,337.00","2,355.00","2,272.00","2,314.00","2,298.00","-","-16.00","-0.69","29,59,911","687.29","2,499.00","881.63","-78.93","-60.14"
"RADICO","2,991.50","3,049.00","2,889.00","2,986.80","2,962.00","-","-24.80","-0.83","8,82,356","263.07","3,591.90","1,845.50","-9.34","33.96"
"WOCKPHARMA","1,363.00","1,367.00","1,342.00","1,360.50","1,349.00","-","-11.50","-0.85","2,59,368","35.07","1,868.80","1,110.05","-6.46","3.96"
"CGCL","168.64","169.83","166.00","168.64","167.00","-","-1.64","-0.97","6,40,822","10.73","231.35","150.51","-6.46","-7.01"
"NEULANDLAB","13,569.00","13,602.00","13,105.00","13,570.00","13,425.00","-","-145.00","-1.07","26,161","34.99","19,747.00","10,190.70","-13.54","-4.32"
"CHOLAHLDNG","1,657.90","1,657.90","1,614.80","1,645.50","1,625.20","-","-20.30","-1.23","6,56,894","106.94","2,231.60","1,357.35","-13.18","14.05"
"IGIL","301.15","303.90","293.55","301.15","297.45","-","-3.70","-1.23","2,65,179","7.88","563.00","282.00","-9.34","-42.94"
"CASTROLIND","186.50","186.50","183.10","186.04","183.70","-","-2.34","-1.26","10,82,808","20.00","251.95","162.60","-1.21","2.94"
"KFINTECH","1,042.80","1,053.50","1,016.30","1,033.50","1,020.00","-","-13.50","-1.31","6,67,451","69.23","1,388.50","784.15","-7.54","-5.64"
"SAGILITY","52.40","53.35","51.41","52.44","51.69","-","-0.75","-1.43","2,60,27,543","136.57","57.89","37.60","-1.71","11.07"
"ANANDRATHI","3,039.00","3,039.00","2,936.90","3,008.30","2,963.90","-","-44.40","-1.48","4,74,666","141.21","3,321.40","1,594.00","-2.35","-22.60"
"CROMPTON","232.80","232.80","223.75","229.65","226.10","-","-3.55","-1.55","38,59,058","87.73","373.00","223.75","-13.25","-35.07"
"STARHEALTH","435.75","436.35","423.65","435.75","429.00","-","-6.75","-1.55","5,61,220","23.94","534.00","327.30","-7.62","-7.47"
"ZENTEC","1,310.00","1,317.50","1,270.80","1,301.70","1,280.90","-","-20.80","-1.60","2,60,916","33.49","2,268.00","945.35","-7.70","-34.78"
"GILLETTE","8,049.50","8,075.50","7,912.00","8,049.50","7,916.00","-","-133.50","-1.66","17,235","13.79","11,500.00","7,411.65","-0.41","-14.87"
"MANAPPURAM","303.20","303.20","293.10","300.20","294.90","-","-5.30","-1.77","36,09,963","107.14","321.60","168.83","-0.02","50.88"
"NH","1,783.40","1,817.00","1,736.60","1,775.30","1,743.00","-","-32.30","-1.82","3,42,904","60.98","2,370.20","1,260.00","-6.92","31.76"
"AFFLE","1,610.00","1,612.60","1,573.00","1,609.40","1,579.80","-","-29.60","-1.84","1,39,683","22.16","2,185.90","1,246.00","-10.54","3.26"
"AEGISVOPAK","207.00","207.04","199.84","205.41","201.58","-","-3.83","-1.86","3,04,743","6.22","302.00","198.00","-19.11","-"
"BRIGADE","780.50","787.60","751.10","779.80","764.80","-","-15.00","-1.92","14,05,372","106.85","1,332.00","751.10","-13.57","-28.94"
"BEML","1,686.80","1,688.10","1,635.00","1,682.60","1,650.00","-","-32.60","-1.94","1,72,413","28.57","2,437.40","1,175.00","-10.43","-54.47"
"APTUS","265.20","268.05","259.00","265.15","260.00","-","-5.15","-1.94","3,69,166","9.72","364.00","257.15","-8.02","-6.63"
"AEGISLOG","660.00","660.05","644.15","658.40","645.50","-","-12.90","-1.96","5,05,613","32.86","946.50","609.85","-11.31","-9.36"
"GLAND","1,719.00","1,719.00","1,671.30","1,723.30","1,688.00","-","-35.30","-2.05","85,262","14.37","2,131.00","1,277.80","-0.31","3.00"
"TATACHEM","738.75","738.75","712.00","729.65","714.00","-","-15.65","-2.14","2,74,401","19.77","1,026.65","692.00","-8.13","-25.21"
"SIGNATURE","888.00","890.10","853.30","886.80","867.30","-","-19.50","-2.20","2,71,748","23.78","1,339.50","853.30","-24.39","-19.69"
"CDSL","1,356.60","1,374.00","1,322.50","1,356.60","1,326.60","-","-30.00","-2.21","12,04,091","162.63","1,828.90","1,047.45","-12.48","-11.86"
"ANGELONE","2,566.60","2,604.90","2,501.20","2,566.60","2,509.90","-","-56.70","-2.21","5,22,156","133.58","3,285.00","1,941.00","-1.64","2.98"
"NUVAMA","1,385.10","1,385.20","1,324.60","1,383.30","1,351.70","-","-31.60","-2.28","4,25,570","57.28","1,701.70","947.09","-81.70","-75.96"
"IKS","1,703.50","1,703.50","1,629.00","1,684.10","1,645.00","-","-39.10","-2.32","90,357","14.88","1,929.00","1,236.80","-5.60","-10.68"
"CESC","143.70","145.15","139.90","143.45","140.10","-","-3.35","-2.34","16,19,223","23.08","185.26","119.00","-16.58","-1.43"
"HSCL","460.95","463.80","444.00","458.75","446.40","-","-12.35","-2.69","5,78,372","26.31","539.20","365.35","-7.25","-15.89"
"NCC","146.50","147.10","141.11","146.27","142.34","-","-3.93","-2.69","16,74,636","24.00","261.80","140.04","-11.07","-41.18"
"IEX","131.40","132.45","127.06","131.06","127.50","-","-3.56","-2.72","92,39,745","119.66","215.40","127.06","-10.22","-24.17"
"LALPATHLAB","1,425.00","1,425.00","1,371.00","1,417.90","1,377.80","-","-40.10","-2.83","4,30,231","60.16","1,770.00","1,146.78","-2.46","-51.58"
"SHYAMMETL","815.80","815.80","774.00","803.75","780.95","-","-22.80","-2.84","85,281","6.73","1,001.00","673.50","-5.71","-2.73"
"HBLENGINE","725.95","728.50","704.10","726.60","705.70","-","-20.90","-2.88","12,15,987","86.65","1,122.00","405.00","-19.37","29.38"
"IRCON","158.77","159.40","151.35","157.84","153.30","-","-4.54","-2.88","28,01,912","43.70","229.50","134.24","-9.70","-27.24"
"REDINGTON","262.70","262.70","249.60","259.40","251.90","-","-7.50","-2.89","20,60,276","52.30","334.80","176.94","-8.95","14.73"
"PPLPHARMA","157.00","157.15","150.21","156.50","151.98","-","-4.52","-2.89","27,45,484","41.90","251.95","150.21","-14.94","-37.51"
"OLAELEC","33.29","33.30","31.72","32.97","32.00","-","-0.97","-2.94","4,06,87,720","131.87","80.80","30.76","-8.06","-57.00"
"TRIDENT","26.25","26.30","25.05","26.12","25.34","-","-0.78","-2.99","64,18,372","16.42","34.62","23.11","-6.52","-19.47"
"TRITURBINE","478.20","479.45","460.10","476.20","461.75","-","-14.45","-3.03","1,40,568","6.57","710.00","454.10","-14.04","-31.62"
"IIFL","550.00","567.90","519.05","538.75","522.20","-","-16.55","-3.07","1,40,85,105","770.55","675.00","279.80","-9.01","35.19"
"AMBER","5,742.00","5,779.50","5,544.00","5,732.00","5,551.00","-","-181.00","-3.16","2,97,126","167.17","8,626.00","5,235.00","-16.36","-11.42"
"GRSE","2,311.00","2,319.00","2,214.80","2,301.80","2,229.00","-","-72.80","-3.16","5,38,599","122.32","3,538.40","1,184.90","-7.68","44.87"
"INOXWIND","107.50","107.50","103.12","106.89","103.50","-","-3.39","-3.17","81,54,566","86.01","199.01","103.12","-18.52","-33.72"
"BLS","285.90","287.35","273.35","284.15","275.00","-","-9.15","-3.22","7,24,443","20.25","465.65","273.35","-14.71","-39.75"
"ARE&M","856.70","859.35","825.90","854.65","826.85","-","-27.80","-3.25","2,63,226","22.16","1,109.00","825.90","-10.82","-22.03"
"PGEL","527.00","545.85","507.65","530.40","512.70","-","-17.70","-3.34","19,60,594","103.08","1,008.00","465.00","-11.40","-32.52"
"RAMCOCEM","1,087.00","1,087.00","1,042.20","1,082.60","1,046.00","-","-36.60","-3.38","3,21,463","34.42","1,209.00","788.20","0.62","21.42"
"MGL","1,113.50","1,113.90","1,073.10","1,116.10","1,078.00","-","-38.10","-3.41","1,17,812","12.77","1,586.90","1,040.20","-5.96","-15.87"
"ZENSARTECH","731.35","739.50","697.55","722.30","697.55","-","-24.75","-3.43","5,65,176","40.47","984.95","535.85","-4.74","-6.04"
"AFCONS","345.60","349.40","331.25","345.65","333.80","-","-11.85","-3.43","2,94,504","9.98","513.55","331.25","-11.09","-31.56"
"NEWGEN","649.00","650.00","620.15","648.40","625.75","-","-22.65","-3.49","4,97,938","31.35","1,377.15","617.55","-26.80","-49.41"
"JBCHEPHARM","1,907.00","1,907.00","1,833.80","1,901.60","1,835.00","-","-66.60","-3.50","1,32,508","24.75","1,939.00","1,385.75","2.29","2.33"
"KEC","662.05","664.70","626.40","657.40","634.00","-","-23.40","-3.56","2,95,325","19.06","947.00","626.40","-14.56","-28.59"
"NBCC","99.00","99.29","94.62","98.68","95.15","-","-3.53","-3.58","1,34,06,785","129.03","130.70","70.80","-18.22","2.92"
"ASTERDM","576.00","581.70","552.40","576.30","555.00","-","-21.30","-3.70","3,28,424","18.43","732.20","387.10","-7.05","11.51"
"JYOTICNC","846.40","847.80","795.00","832.25","800.00","-","-32.25","-3.88","3,00,256","24.31","1,330.00","750.10","-17.07","-34.15"
"CAMS","709.20","717.95","675.10","707.75","679.40","-","-28.35","-4.01","20,07,665","138.93","875.00","606.21","-10.63","-83.33"
"JWL","316.50","317.40","301.15","315.55","302.85","-","-12.70","-4.02","19,27,811","59.67","485.90","247.15","-9.57","-35.86"
"WELCORP","759.80","763.80","728.60","759.10","728.60","-","-30.50","-4.02","2,69,356","19.98","994.00","664.30","-10.14","-6.30"
"ABREL","1,362.70","1,362.70","1,280.00","1,346.00","1,291.00","-","-55.00","-4.09","2,40,373","31.38","2,537.90","1,280.00","-25.18","-30.19"
"CYIENT","1,132.00","1,137.10","1,072.20","1,134.40","1,087.90","-","-46.50","-4.10","7,38,409","81.09","1,807.00","1,072.20","-5.15","-36.45"
"JBMA","555.00","557.90","525.30","551.95","529.00","-","-22.95","-4.16","4,31,556","23.23","824.00","489.80","-8.47","-65.18"
"KAYNES","3,548.40","3,565.00","3,365.60","3,527.20","3,377.00","-","-150.20","-4.26","11,91,544","411.11","7,705.00","3,365.60","-18.39","-36.85"
"IFCI","58.92","59.10","56.00","58.80","56.15","-","-2.65","-4.51","1,37,21,630","79.11","74.50","36.20","6.38","0.88"
"CREDITACC","1,435.00","1,463.80","1,373.70","1,449.80","1,384.00","-","-65.80","-4.54","45,22,919","641.34","1,496.70","750.20","6.99","45.12"
"PCBL","280.05","280.05","262.55","277.95","264.30","-","-13.65","-4.91","6,19,159","16.69","444.15","259.55","-14.19","-26.99"
"DEVYANI","121.17","121.45","114.00","120.35","114.28","-","-6.07","-5.04","25,82,161","30.20","194.00","114.00","-19.34","-37.06"
"DATAPATTNS","2,304.00","2,304.00","2,167.00","2,293.40","2,175.00","-","-118.40","-5.16","4,52,250","100.45","3,268.80","1,351.15","-17.88","-0.79"
"RPOWER","30.40","30.40","28.00","29.97","28.32","-","-1.65","-5.51","5,40,23,006","155.48","76.49","28.00","-22.08","-28.34"
"JINDALSAW","185.60","188.34","175.50","187.98","177.50","-","-10.48","-5.58","63,39,965","115.67","286.40","153.00","5.38","-29.62"
"PNBHOUSING","860.25","866.25","806.00","860.25","812.00","-","-48.25","-5.61","38,07,984","314.19","1,141.90","746.70","-12.91","-10.87"
"KAJARIACER","993.50","997.00","924.80","993.50","936.35","-","-57.15","-5.75","3,83,467","36.35","1,321.90","758.70","-8.02","-9.45"
"TEJASNET","324.65","324.80","300.00","323.10","303.90","-","-19.20","-5.94","18,23,137","56.74","1,125.00","300.00","-33.02","-72.27"
"ANANTRAJ","536.75","536.80","497.80","537.70","503.25","-","-34.45","-6.41","29,01,719","148.02","871.95","376.15","-10.18","-40.07"
"POONAWALLA","448.65","448.65","410.50","447.70","414.00","-","-33.70","-7.53","24,94,967","105.93","570.40","267.20","-12.00","26.69"
